x_axis,y_axis,z_axis
89,-1300,1.08484853301357
63,-1370,0.964348445079804
143,-1071,-1.38718768741734
96,-623,-3.54197977003858
111,-876,-1.21888573801939
118,-978,-1.791912806108
93,-226,-3.06312428100669
138,-362,-2.84005505538827
43,-244,-2.85567094814761
130,-10,-2.1050155965603
96,-92,-0.867186736221392
102,136,-0.285497406542808
49,302,-1.19646152854679
66,570,0.515332714211174
17,322,-1.47629153514558
97,702,1.04591345339608
10,836,-0.628079078821664
33,664,-1.65432212092724
99,1093,-1.17968639366199
147,1009,-0.059456871792065
90,1338,0.38302329869029
165,-1350,2.35562413237363
220,-1365,2.71321455358979
286,-1194,10.3656863901315
185,-826,-1.2898036531041
295,-665,10.4446069878002
172,-672,-2.00338584828214
283,-454,5.20955228799014
270,-532,3.10409752701455
171,-549,-3.33466901787294
300,49,11.4209463058987
204,-22,-1.10626036411147
240,-46,-1.03873856307416
233,291,1.08785733322329
212,510,3.67658580654458
281,438,8.96397131557909
159,851,1.53670974317396
172,996,-0.304641324098516
227,694,3.31908342695849
230,1042,0.971390465866128
259,1031,3.61393794440425
212,1021,0.281622064581127
406,-1382,21.2159870439948
392,-1174,21.8975517964609
356,-1112,22.6160967155324
356,-972,21.9207282728654
310,-724,14.5732191543598
395,-821,20.2682366161351
398,-265,19.7844493919814
311,-479,13.21005937509
344,-471,18.763163073961
404,-172,19.0130310267998
368,52,21.3905676886826
424,-127,16.4063962480996
445,289,14.3422421598273
389,511,24.2684427439158
338,524,22.2544706548073
316,821,18.8687628425941
426,808,19.5764223117676
388,814,24.3056541973733
385,1031,22.1968168957795
397,1383,22.0372071403831
368,1164,22.8735052629484
550,-1160,-0.623359903943801
553,-1185,-0.0478309507554127
491,-1180,3.64431650966273
537,-667,-2.26992346897028
508,-911,0.0845122878142445
510,-659,-1.21340904109545
531,-289,-1.34883346346171
560,-422,-3.3160212173608
591,-296,0.433304718280655
517,28,-0.0307041403054815
589,128,1.22137208251475
518,162,-0.173511877192371
466,238,7.43286574878387
543,406,1.16638017133213
551,266,-0.778355312512111
562,748,2.71923124920248
543,626,1.17322240533762
519,739,2.83438860539797
575,1122,1.97784605916336
470,1224,6.94573708610539
521,1150,1.43096376257064
660,-1192,17.4285653877394
639,-1120,14.2790514660469
642,-1137,14.5638699355881
658,-970,18.5575072782022
624,-795,9.49581686724138
694,-718,18.4361596029958
627,-289,9.126243899703
711,-527,16.7482904023922
709,-229,18.9783265432712
659,-3,18.1048275026677
